timestamp,location,device_id,device_name,power_usage_watt
2025-07-01 00:00:00,site_A,dev_01,AC,174
2025-07-01 00:00:00,site_A,dev_02,Lamp,19
2025-07-01 00:00:00,site_A,dev_03,Refrigerator,124
2025-07-01 00:00:00,site_A,dev_04,Computer,91
2025-07-01 00:00:00,site_A,dev_05,Fan,41
2025-07-01 00:00:00,site_B,dev_01,AC,144
2025-07-01 00:00:00,site_B,dev_02,Lamp,19
2025-07-01 00:00:00,site_B,dev_03,Refrigerator,100
2025-07-01 00:00:00,site_B,dev_04,Computer,58
2025-07-01 00:00:00,site_B,dev_05,Fan,40
2025-07-01 00:00:00,site_C,dev_01,AC,154
2025-07-01 00:00:00,site_C,dev_02,Lamp,29
2025-07-01 00:00:00,site_C,dev_03,Refrigerator,103
2025-07-01 00:00:00,site_C,dev_04,Computer,82
2025-07-01 00:00:00,site_C,dev_05,Fan,56
2025-07-01 01:00:00,site_A,dev_01,AC,170
2025-07-01 01:00:00,site_A,dev_02,Lamp,25
2025-07-01 01:00:00,site_A,dev_03,Refrigerator,108
2025-07-01 01:00:00,site_A,dev_04,Computer,75
2025-07-01 01:00:00,site_A,dev_05,Fan,45
2025-07-01 01:00:00,site_B,dev_01,AC,140
2025-07-01 01:00:00,site_B,dev_02,Lamp,21
2025-07-01 01:00:00,site_B,dev_03,Refrigerator,125
2025-07-01 01:00:00,site_B,dev_04,Computer,75
2025-07-01 01:00:00,site_B,dev_05,Fan,47
2025-07-01 01:00:00,site_C,dev_01,AC,187
2025-07-01 01:00:00,site_C,dev_02,Lamp,12
2025-07-01 01:00:00,site_C,dev_03,Refrigerator,128
2025-07-01 01:00:00,site_C,dev_04,Computer,98
2025-07-01 01:00:00,site_C,dev_05,Fan,43
2025-07-01 02:00:00,site_A,dev_01,AC,150
2025-07-01 02:00:00,site_A,dev_02,Lamp,19
2025-07-01 02:00:00,site_A,dev_03,Refrigerator,119
2025-07-01 02:00:00,site_A,dev_04,Computer,67
2025-07-01 02:00:00,site_A,dev_05,Fan,54
2025-07-01 02:00:00,site_B,dev_01,AC,181
2025-07-01 02:00:00,site_B,dev_02,Lamp,24
2025-07-01 02:00:00,site_B,dev_03,Refrigerator,116
2025-07-01 02:00:00,site_B,dev_04,Computer,65
2025-07-01 02:00:00,site_B,dev_05,Fan,46
2025-07-01 02:00:00,site_C,dev_01,AC,141
2025-07-01 02:00:00,site_C,dev_02,Lamp,33
2025-07-01 02:00:00,site_C,dev_03,Refrigerator,114
2025-07-01 02:00:00,site_C,dev_04,Computer,59
2025-07-01 02:00:00,site_C,dev_05,Fan,49
2025-07-01 03:00:00,site_A,dev_01,AC,162
2025-07-01 03:00:00,site_A,dev_02,Lamp,19
2025-07-01 03:00:00,site_A,dev_03,Refrigerator,99
2025-07-01 03:00:00,site_A,dev_04,Computer,82
2025-07-01 03:00:00,site_A,dev_05,Fan,42
2025-07-01 03:00:00,site_B,dev_01,AC,176
2025-07-01 03:00:00,site_B,dev_02,Lamp,20
